Metin,Tahmin Sınıfı,Tahmin Etiketi
"Meclis bu hafta yoğun mesaiye hazırlanıyor. 2024 Yılı Merkezi Yönetim Bütçe Kanunu Teklifi, yarın Genel Kurul'da görüşülmeye başlanacak. 14 gün sürecek görüşmelerde Genel Kurul, cumartesi ve pazar günleri de dahil kesintisiz toplanacak.",1,ekonomi 
Zonguldak'ta heyelan nedeniyle tek katlı müstakil evin yıkılması sonucu göçük altında kalan anne ve oğlunun cansız bedenine ulaşıldı.,2,kultur 
"Yargıtay 11. Hukuk Dairesi, kredi sözleşmesine kefil olarak imza atan okuma yazma bilmeyen kişinin, sözleşme içeriğini bilmediğinin kabul edilemeyeceğine ve borçtan sorumlu olacağına hükmetti.",5,spor 
Tokat-Sivas karayolunda minibüs kamyona arkadan çarptı. Kazada minibüste bulunan 5 kişi hayatını kaybetti.,0,dunya 
